Auction Types,A,B,C,D,Winner Type,Starting Bid,Revenue,Speed
ED,25.0,25.0,25.0,25.0,D,981000000,142254664,20
DE,25.0,25.0,25.0,25.0,D,981000000,185201207,3
V,25.0,25.0,25.0,25.0,C,981000000,202011266,1
F,25.0,25.0,25.0,25.0,C,981000000,219095230,1
ED,25.0,25.0,25.0,25.0,C,990000000,155438999,7
DE,25.0,25.0,25.0,25.0,A,990000000,170783999,3
V,25.0,25.0,25.0,25.0,D,990000000,236615627,1
F,25.0,25.0,25.0,25.0,C,990000000,233839048,1
ED,25.0,25.0,25.0,25.0,B,963000000,186139961,11
DE,25.0,25.0,25.0,25.0,C,963000000,262218536,4
V,25.0,25.0,25.0,25.0,C,963000000,193196797,1
F,25.0,25.0,25.0,25.0,A,963000000,226859373,1
ED,25.0,25.0,25.0,25.0,B,981000000,168287871,6
DE,25.0,25.0,25.0,25.0,A,981000000,161049599,3
V,25.0,25.0,25.0,25.0,C,981000000,191429486,1
F,25.0,25.0,25.0,25.0,A,981000000,223698402,1
ED,25.0,25.0,25.0,25.0,D,981000000,178117807,18
DE,25.0,25.0,25.0,25.0,A,981000000,244705103,4
V,25.0,25.0,25.0,25.0,B,981000000,158043625,1
F,25.0,25.0,25.0,25.0,B,981000000,264777524,1
ED,25.0,25.0,25.0,25.0,C,972000000,169199999,8
DE,25.0,25.0,25.0,25.0,D,972000000,210955891,3
V,25.0,25.0,25.0,25.0,A,972000000,208234192,1
F,25.0,25.0,25.0,25.0,C,972000000,269042752,1
ED,25.0,25.0,25.0,25.0,C,945000000,139499999,11
DE,25.0,25.0,25.0,25.0,C,945000000,170684999,3
V,25.0,25.0,25.0,25.0,B,945000000,254809490,1
F,25.0,25.0,25.0,25.0,B,945000000,265332306,1
ED,25.0,25.0,25.0,25.0,A,963000000,149669999,11
DE,25.0,25.0,25.0,25.0,C,963000000,180485999,3
V,25.0,25.0,25.0,25.0,B,963000000,225613412,1
F,25.0,25.0,25.0,25.0,B,963000000,237087628,1
ED,25.0,25.0,25.0,25.0,B,963000000,212680080,24
DE,25.0,25.0,25.0,25.0,C,963000000,168090349,3
V,25.0,25.0,25.0,25.0,B,963000000,262152855,1
F,25.0,25.0,25.0,25.0,B,963000000,163119822,1
ED,25.0,25.0,25.0,25.0,A,981000000,139859999,10
DE,25.0,25.0,25.0,25.0,auctioneer,981000000,-900000000,2
V,25.0,25.0,25.0,25.0,C,981000000,211857404,1
F,25.0,25.0,25.0,25.0,A,981000000,183332781,1
ED,25.0,25.0,25.0,25.0,D,972000000,141011649,9
DE,25.0,25.0,25.0,25.0,C,972000000,188641840,3
V,25.0,25.0,25.0,25.0,B,972000000,193117287,1
F,25.0,25.0,25.0,25.0,D,972000000,250620333,1
ED,25.0,25.0,25.0,25.0,A,954000000,111239999,6
DE,25.0,25.0,25.0,25.0,C,954000000,154546256,3
V,25.0,25.0,25.0,25.0,A,954000000,233323343,1
F,25.0,25.0,25.0,25.0,C,954000000,219303788,1
ED,25.0,25.0,25.0,25.0,B,954000000,155333931,26
DE,25.0,25.0,25.0,25.0,C,954000000,248991834,4
V,25.0,25.0,25.0,25.0,D,954000000,203847796,1
F,25.0,25.0,25.0,25.0,C,954000000,235766175,1
ED,25.0,25.0,25.0,25.0,B,981000000,168155454,10
DE,25.0,25.0,25.0,25.0,A,981000000,202153499,3
V,25.0,25.0,25.0,25.0,D,981000000,146774866,1
F,25.0,25.0,25.0,25.0,A,981000000,263619229,1
ED,25.0,25.0,25.0,25.0,A,972000000,114401892,11
DE,25.0,25.0,25.0,25.0,D,972000000,177694433,3
V,25.0,25.0,25.0,25.0,C,972000000,263358574,1
F,25.0,25.0,25.0,25.0,A,972000000,251187302,1
ED,25.0,25.0,25.0,25.0,D,963000000,146780177,11
DE,25.0,25.0,25.0,25.0,B,963000000,39965039,2
V,25.0,25.0,25.0,25.0,A,963000000,192477264,1
F,25.0,25.0,25.0,25.0,B,963000000,252387838,1
ED,25.0,25.0,25.0,25.0,A,945000000,166696048,13
DE,25.0,25.0,25.0,25.0,B,945000000,239125740,4
V,25.0,25.0,25.0,25.0,B,945000000,231488410,1
F,25.0,25.0,25.0,25.0,B,945000000,241294221,1
ED,25.0,25.0,25.0,25.0,B,990000000,148071706,8
DE,25.0,25.0,25.0,25.0,D,990000000,156409185,3
V,25.0,25.0,25.0,25.0,D,990000000,229107704,1
F,25.0,25.0,25.0,25.0,C,990000000,219984004,1
ED,25.0,25.0,25.0,25.0,A,954000000,130319999,9
DE,25.0,25.0,25.0,25.0,B,954000000,219043830,4
V,25.0,25.0,25.0,25.0,B,954000000,251219088,1
F,25.0,25.0,25.0,25.0,B,954000000,268838764,1
ED,25.0,25.0,25.0,25.0,C,981000000,198153685,8
DE,25.0,25.0,25.0,25.0,B,981000000,240305074,4
V,25.0,25.0,25.0,25.0,C,981000000,172251505,1
F,25.0,25.0,25.0,25.0,C,981000000,220863689,1
ED,25.0,25.0,25.0,25.0,A,954000000,80783866,16
DE,25.0,25.0,25.0,25.0,C,954000000,156492702,3
V,25.0,25.0,25.0,25.0,C,954000000,233075207,1
F,25.0,25.0,25.0,25.0,A,954000000,243960004,1
ED,25.0,25.0,25.0,25.0,D,981000000,169968351,10
DE,25.0,25.0,25.0,25.0,C,981000000,179566955,3
V,25.0,25.0,25.0,25.0,D,981000000,151573744,1
F,25.0,25.0,25.0,25.0,A,981000000,261241943,1
ED,25.0,25.0,25.0,25.0,C,954000000,146032379,6
DE,25.0,25.0,25.0,25.0,D,954000000,170386447,3
V,25.0,25.0,25.0,25.0,A,954000000,216633222,1
F,25.0,25.0,25.0,25.0,C,954000000,261706954,1
ED,25.0,25.0,25.0,25.0,C,981000000,175637069,7
DE,25.0,25.0,25.0,25.0,A,981000000,191264399,3
V,25.0,25.0,25.0,25.0,C,981000000,187933021,1
F,25.0,25.0,25.0,25.0,B,981000000,243193200,1
ED,25.0,25.0,25.0,25.0,C,945000000,134820926,16
DE,25.0,25.0,25.0,25.0,D,945000000,173216526,3
V,25.0,25.0,25.0,25.0,C,945000000,199469204,1
F,25.0,25.0,25.0,25.0,B,945000000,260317671,1
